"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"320-AFR","AFR","AFR","320","gate","jet_transport","L-GAV","false","","","","",""
"321-AFR","AFR","AFR","321","gate","jet_transport","L-GAV","false","","","","",""
"318-AFR","AFR","AFR","318","gate","jet_transport","L-GAV","false","","","","",""
"772-AFR","AFR","AFR","772","gate","jet_transport","L-GAV","false","","","","",""
"343-AFR","AFR","AFR","343","gate","jet_transport","L-GAV","false","","","","",""
"332-AFR","AFR","AFR","332","gate","jet_transport","L-GAV","false","","","","",""
"CRK-AFR","AFR","AFR","CRK","gate","jet_transport","L-GAV","false","","","","",""
"E70-AFR","AFR","AFR","E70","gate","jet_transport","L-GAV","false","","","","",""
"744-AFR","AFR","AFR","744","gate","jet_transport","L-GAV","false","","","","",""
"CRJ-AFR","AFR","AFR","CRJ","gate","jet_transport","L-GAV","false","","","","",""
"330-AFR","AFR","AFR","330","gate","jet_transport","L-GAV","false","","","","",""
"388-AFR","AFR","AFR","388","gate","jet_transport","L-GAV","false","","","","",""
"77W-AFR","AFR","AFR","77W","gate","jet_transport","L-GAV","false","","","","",""
"777-AFR","AFR","AFR","777","gate","jet_transport","L-GAV","false","","","","",""
"100-AFR","AFR","AFR","100","gate","jet_transport","L-GAV","false","","","","",""
"E190-AFR","AFR","AFR","E190","gate","jet_transport","L-GAV","false","","","","",""
"ER4-AFR","AFR","AFR","ER4","gate","jet_transport","L-GAV","false","","","","",""
"CR7-AFR","AFR","AFR","CR7","gate","jet_transport","L-GAV","false","","","","",""
"AR8-AFR","AFR","AFR","AR8","gate","jet_transport","L-GAV","false","","","","",""
"J31-BAW","BAW","BAW","J31","gate","jet_transport","L-GAV","false","","","","",""
"FRJ-BAW","BAW","BAW","FRJ","gate","jet_transport","L-GAV","false","","","","",""
"D38-BAW","BAW","BAW","D38","gate","jet_transport","L-GAV","false","","","","",""
"319-SBI","SBI","SBI","319","gate","jet_transport","L-GAV","false","","","","",""
"320-BAW","BAW","BAW","320","gate","jet_transport","L-GAV","false","","","","",""
"319-BAW","BAW","BAW","319","gate","jet_transport","L-GAV","false","","","","",""
"321-BAW","BAW","BAW","321","gate","jet_transport","L-GAV","false","","","","",""
"320-RJA","RJA","RJA","320","gate","jet_transport","L-GAV","false","","","","",""
"319-RJA","RJA","RJA","319","gate","jet_transport","L-GAV","false","","","","",""
